"funding_round_uuid","investor_uuid","investor_name"
"63b24f2a-6a65-a56c-0b97-3dccb0dbea31","fe2d1e8b-f607-3c9f-fad7-98fb8412f77e","Benchmark"
"63b24f2a-6a65-a56c-0b97-3dccb0dbea31","60b5dade-24ed-84b0-99e2-1ecda554a1ab","Index Ventures"
"63b5ee8d-4207-76ff-92e2-1df2ed8095aa","4ab1b039-d9ce-f96a-06e7-f737e37eee08","Norwest Venture Partners"
"63b5ee8d-4207-76ff-92e2-1df2ed8095aa","5ffe727e-0b6f-aa7b-7831-39e8c56fbba4","Alloy Ventures"
"e96c7cef-098c-143e-b087-11bfe329d74d","5ffe727e-0b6f-aa7b-7831-39e8c56fbba4","Alloy Ventures"
"9bb89f6e-65b7-b5fb-f1ad-7cbf60f86648","3e3e8a2f-3700-f2c9-6568-4aaae02c07c6","Qualcomm"
"ef87f876-1fbf-ebe0-f2e6-ea76a9c062ef","c75bfed3-730f-2875-dfdd-11ef59743eae","Roger Evans"
"ef87f876-1fbf-ebe0-f2e6-ea76a9c062ef","e2006571-6b7a-e477-002a-f7014f48a7e3","Greylock"
"ef87f876-1fbf-ebe0-f2e6-ea76a9c062ef","fe2d1e8b-f607-3c9f-fad7-98fb8412f77e","Benchmark"
"e8b208f5-30b0-733b-4923-1e75ab9569d5","c92eba74-4a90-0fd9-9e5e-4144f978ffc2","Mobius Venture Capital"
"047f5853-fe91-2cb7-da91-0096de21edbd","fe2d1e8b-f607-3c9f-fad7-98fb8412f77e","Benchmark"
"047f5853-fe91-2cb7-da91-0096de21edbd","d29973c3-95ec-691d-defd-6a6ba713c72a","Redpoint"
"7b4d366c-07cd-ad50-cc95-dda5814a39d6","4e735dd7-c7c5-f189-370c-67bfb8e413dd","North Bridge Venture Partners & Growth Equity"
"7b4d366c-07cd-ad50-cc95-dda5814a39d6","a705497c-f54b-ec5d-9d6a-1951de507031","Pitango Venture Capital"
"7b4d366c-07cd-ad50-cc95-dda5814a39d6","e3fd7783-f349-81b2-132f-c7062a37d071","Veritas Venture Partners"
"7b4d366c-07cd-ad50-cc95-dda5814a39d6","3c5c3c69-1c2f-b45f-a923-0867bb13c5b7","VenFin"
"41207d04-4387-8e11-a238-86bca5796145","beadb218-e5fa-2686-bc95-4dfaa9acc2e8","Bessemer Venture Partners"
"07473f3d-bc93-1b66-3ca9-54849dd9a423","3a6c9503-0cc8-0809-7925-65e590f9010c","August Capital"
"257e5944-e430-fdba-2f0a-451775b375fb","40812e5d-2d87-5bcb-63a1-d9f6b8eca1ef","Baseline Ventures"
"278d44b4-463a-6632-6cab-5f0956a10319","3718597a-dd39-6661-3630-09cdd43bcac2","Techstars"
"0455fe63-0c83-8bf2-dcc0-01b4591dad53","3718597a-dd39-6661-3630-09cdd43bcac2","Techstars"
"25420f33-d0f6-f4c3-b4f2-cfc6b55f2a0d","fe2d1e8b-f607-3c9f-fad7-98fb8412f77e","Benchmark"
